iter	Passed	Remaining
0	109	109380
1	110	54893
2	110	36716
3	110	27630
4	111	22201
5	112	18560
6	112	15957
7	112	14003
8	113	12485
9	113	11269
10	114	10276
11	114	9450
12	115	8749
13	115	8154
14	116	7636
15	116	7179
16	117	6776
17	117	6417
18	118	6097
19	118	5808
20	118	5547
21	119	5309
22	119	5092
23	120	4894
24	120	4711
25	121	4543
26	121	4386
27	122	4241
28	122	4106
29	123	3980
30	123	3862
31	124	3751
32	124	3648
33	124	3550
34	125	3458
35	125	3371
36	126	3289
37	126	3212
38	127	3138
39	127	3068
40	128	3001
41	128	2937
42	129	2877
43	129	2819
44	130	2763
45	130	2710
46	131	2660
47	131	2612
48	132	2566
49	132	2522
50	133	2480
51	133	2438
52	134	2399
53	134	2360
54	135	2324
55	135	2288
56	136	2254
57	136	2221
58	137	2189
59	137	2158
60	138	2128
61	138	2100
62	139	2072
63	139	2044
64	140	2018
65	140	1993
66	141	1969
67	142	1946
68	142	1923
69	143	1900
70	143	1879
71	144	1857
72	144	1836
73	145	1816
74	145	1796
75	146	1777
76	146	1757
77	147	1740
78	147	1722
79	148	1704
80	148	1687
81	149	1671
82	149	1652
83	150	1637
84	150	1621
85	151	1606
86	151	1591
87	152	1577
88	152	1564
89	153	1550
90	153	1536
91	154	1523
92	154	1510
93	155	1497
94	155	1484
95	156	1472
96	156	1460
97	157	1448
98	158	1440
99	159	1431
100	159	1420
101	160	1408
102	160	1398
103	161	1387
104	161	1376
105	162	1366
106	162	1356
107	163	1346
108	163	1337
109	164	1327
110	164	1318
111	165	1308
112	165	1299
113	166	1290
114	166	1281
115	167	1273
116	167	1263
117	167	1255
118	168	1246
119	168	1239
120	169	1231
121	169	1222
122	170	1214
123	170	1207
124	171	1199
125	171	1192
126	172	1184
127	172	1176
128	173	1169
129	173	1162
130	174	1156
131	174	1149
132	175	1142
133	175	1136
134	176	1130
135	177	1126
136	177	1120
137	178	1113
138	178	1107
139	179	1101
140	179	1096
141	180	1089
142	180	1084
143	181	1078
144	181	1072
145	182	1067
146	182	1061
147	183	1055
148	183	1050
149	184	1045
150	184	1039
151	185	1034
152	185	1029
153	186	1024
154	186	1019
155	187	1014
156	187	1009
157	188	1004
158	188	999
159	189	994
160	189	988
161	190	984
162	190	979
163	191	975
164	191	970
165	192	966
166	192	961
167	193	957
168	193	952
169	194	948
170	194	944
171	195	940
172	195	936
173	196	932
174	196	927
175	197	923
176	197	919
177	198	915
178	198	911
179	199	908
180	199	904
181	200	900
182	200	896
183	201	893
184	201	889
185	202	885
186	202	881
187	203	878
188	203	874
189	204	871
190	204	867
191	205	864
192	205	860
193	206	857
194	206	853
195	207	850
196	207	847
197	208	843
198	208	840
199	209	837
200	209	834
201	210	831
202	210	827
203	211	824
204	211	821
205	212	818
206	212	815
207	213	812
208	213	809
209	214	806
210	214	803
211	215	800
212	215	797
213	216	794
214	216	791
215	217	789
216	218	786
217	218	783
218	219	781
219	219	778
220	220	775
221	220	773
222	221	770
223	221	767
224	222	765
225	222	762
226	223	760
227	223	757
228	224	754
229	224	752
230	225	749
231	225	747
232	226	744
233	226	742
234	227	739
235	227	737
236	228	734
237	228	732
238	229	729
239	229	727
240	230	724
241	230	722
242	231	720
243	231	717
244	232	715
245	232	713
246	233	710
247	233	708
248	234	706
249	234	703
250	235	701
251	235	699
252	236	697
253	236	694
254	237	692
255	237	690
256	238	688
257	238	686
258	239	684
259	239	682
260	240	679
261	240	677
262	241	675
263	241	673
264	242	671
265	242	669
266	243	667
267	243	665
268	244	663
269	244	661
270	245	659
271	245	657
272	246	655
273	246	653
274	247	651
275	247	649
276	248	647
277	248	646
278	249	644
279	249	642
280	250	640
281	250	638
282	251	636
283	251	634
284	252	632
285	252	631
286	253	629
287	253	627
288	254	625
289	254	623
290	255	622
291	255	620
292	256	618
293	256	616
294	257	615
295	257	613
296	258	611
297	258	609
298	259	608
299	259	606
300	260	604
301	260	602
302	261	601
303	261	599
304	262	598
305	263	596
306	263	594
307	263	593
308	264	591
309	265	589
310	265	588
311	266	586
312	266	585
313	267	583
314	267	581
315	268	580
316	268	578
317	269	577
318	269	575
319	270	574
320	270	572
321	271	570
322	271	569
323	272	567
324	272	566
325	273	564
326	273	563
327	274	561
328	274	560
329	275	558
330	275	557
331	276	555
332	276	554
333	277	552
334	277	551
335	278	550
336	279	548
337	279	547
338	280	546
339	280	544
340	281	543
341	281	542
342	282	540
343	282	539
344	283	538
345	283	536
346	284	535
347	284	533
348	285	532
349	286	531
350	286	529
351	287	528
352	287	527
353	288	525
354	288	524
355	289	522
356	289	521
357	290	520
358	290	518
359	291	517
360	291	516
361	292	514
362	292	513
363	293	512
364	293	511
365	294	509
366	294	508
367	295	507
368	296	506
369	296	505
370	297	503
371	297	502
372	298	501
373	299	500
374	299	499
375	300	498
376	300	497
377	301	496
378	302	494
379	302	493
380	303	492
381	303	491
382	304	489
383	304	489
384	305	487
385	305	486
386	306	485
387	306	484
388	307	482
389	307	481
390	308	480
391	308	479
392	309	478
393	310	477
394	310	476
395	311	474
396	311	473
397	312	472
398	312	471
399	313	469
400	313	468
401	314	467
402	314	466
403	315	465
404	315	464
405	316	462
406	316	461
407	317	460
408	317	459
409	318	458
410	318	456
411	319	455
412	319	454
413	320	453
414	320	452
415	321	451
416	321	450
417	322	448
418	322	447
419	323	446
420	323	445
421	324	444
422	324	443
423	325	441
424	325	440
425	326	439
426	326	438
427	327	437
428	327	436
429	328	435
430	329	434
431	329	433
432	329	432
433	330	431
434	331	429
435	331	428
436	332	427
437	332	426
438	333	425
439	333	424
440	334	423
441	334	422
442	335	421
443	335	420
444	336	419
445	336	418
446	337	417
447	338	416
448	338	415
449	339	414
450	339	413
451	340	412
452	340	411
453	341	410
454	341	409
455	342	408
456	342	407
457	343	406
458	343	405
459	344	404
460	344	403
461	345	402
462	345	401
463	346	400
464	346	399
465	347	398
466	348	397
467	348	396
468	349	395
469	349	394
470	350	393
471	350	392
472	351	391
473	351	390
474	352	389
475	352	388
476	353	387
477	353	386
478	354	385
479	354	384
480	355	383
481	355	382
482	356	381
483	356	380
484	357	379
485	358	378
486	358	377
487	359	376
488	359	375
489	360	374
490	360	373
491	361	372
492	361	372
493	362	371
494	362	370
495	363	369
496	364	368
497	364	367
498	365	366
499	365	365
500	366	364
501	366	363
502	367	362
503	367	362
504	368	361
505	368	360
506	369	359
507	370	358
508	370	357
509	371	356
510	371	355
511	372	354
512	372	353
513	373	352
514	373	351
515	374	351
516	374	350
517	375	349
518	376	348
519	376	347
520	377	346
521	377	345
522	378	344
523	378	344
524	379	343
525	379	342
526	380	341
527	380	340
528	381	339
529	381	338
530	382	337
531	382	336
532	383	335
533	383	334
534	384	334
535	384	333
536	385	332
537	386	331
538	386	330
539	387	329
540	387	328
541	388	327
542	388	327
543	389	326
544	389	325
545	390	324
546	390	323
547	391	322
548	392	322
549	392	321
550	393	320
551	393	319
552	394	318
553	394	317
554	395	316
555	395	316
556	396	315
557	396	314
558	397	313
559	398	312
560	398	311
561	399	311
562	399	310
563	400	309
564	400	308
565	401	307
566	401	306
567	402	305
568	402	304
569	403	304
570	403	303
571	404	302
572	404	301
573	405	300
574	405	299
575	406	299
576	406	298
577	407	297
578	407	296
579	408	295
580	408	294
581	409	294
582	409	293
583	410	292
584	410	291
585	411	290
586	412	289
587	412	289
588	413	288
589	413	287
590	414	286
591	414	285
592	415	284
593	415	284
594	416	283
595	416	282
596	417	281
597	417	280
598	418	280
599	419	279
600	419	278
601	420	277
602	420	276
603	421	276
604	421	275
605	422	274
606	422	273
607	423	272
608	423	272
609	424	271
610	424	270
611	425	269
612	426	269
613	426	268
614	427	267
615	427	266
616	428	265
617	428	265
618	429	264
619	429	263
620	430	262
621	430	261
622	431	261
623	431	260
624	432	259
625	433	258
626	433	257
627	434	257
628	434	256
629	435	255
630	435	254
631	436	254
632	436	253
633	437	252
634	438	251
635	438	251
636	439	250
637	439	249
638	440	248
639	440	247
640	441	247
641	441	246
642	442	245
643	442	244
644	443	244
645	444	243
646	444	242
647	445	241
648	445	241
649	446	240
650	446	239
651	447	238
652	447	238
653	448	237
654	449	236
655	449	235
656	449	234
657	450	234
658	451	233
659	451	232
660	452	231
661	452	231
662	453	230
663	453	229
664	454	228
665	454	227
666	455	227
667	455	226
668	456	225
669	456	225
670	457	224
671	457	223
672	458	222
673	458	221
674	459	221
675	459	220
676	460	219
677	460	218
678	461	218
679	461	217
680	462	216
681	462	215
682	463	215
683	463	214
684	464	213
685	464	212
686	465	212
687	465	211
688	466	210
689	466	209
690	467	208
691	467	208
692	468	207
693	468	206
694	469	205
695	469	205
696	470	204
697	470	203
698	471	202
699	471	202
700	472	201
701	472	200
702	473	199
703	473	199
704	474	198
705	474	197
706	475	196
707	475	196
708	476	195
709	476	194
710	477	194
711	477	193
712	478	192
713	478	191
714	479	191
715	479	190
716	480	189
717	480	188
718	481	188
719	481	187
720	482	186
721	482	185
722	483	185
723	483	184
724	484	183
725	484	183
726	485	182
727	485	181
728	486	180
729	486	180
730	487	179
731	487	178
732	488	177
733	488	177
734	489	176
735	489	175
736	490	175
737	490	174
738	491	173
739	491	172
740	492	172
741	492	171
742	493	170
743	493	169
744	494	169
745	494	168
746	495	167
747	495	167
748	496	166
749	496	165
750	497	164
751	497	164
752	498	163
753	498	162
754	499	162
755	499	161
756	500	160
757	500	159
758	501	159
759	502	158
760	502	157
761	503	157
762	503	156
763	504	155
764	504	155
765	505	154
766	505	153
767	506	152
768	506	152
769	507	151
770	507	150
771	508	150
772	508	149
773	509	148
774	509	148
775	510	147
776	510	146
777	511	145
778	511	145
779	512	144
780	512	143
781	513	143
782	513	142
783	514	141
784	514	141
785	515	140
786	516	139
787	516	138
788	517	138
789	517	137
790	518	136
791	518	136
792	519	135
793	519	134
794	520	134
795	521	133
796	521	132
797	522	132
798	522	131
799	523	130
800	523	130
801	524	129
802	524	128
803	525	128
804	526	127
805	526	126
806	527	126
807	527	125
808	528	124
809	529	124
810	529	123
811	530	122
812	530	122
813	531	121
814	532	120
815	532	120
816	533	119
817	533	118
818	534	118
819	534	117
820	535	116
821	535	116
822	536	115
823	537	114
824	538	114
825	538	113
826	539	112
827	539	112
828	540	111
829	540	110
830	541	110
831	541	109
832	542	108
833	542	108
834	543	107
835	543	106
836	544	106
837	544	105
838	545	104
839	546	104
840	546	103
841	547	102
842	547	101
843	548	101
844	548	100
845	549	99
846	549	99
847	550	98
848	550	97
849	551	97
850	551	96
851	552	95
852	552	95
853	553	94
854	554	93
855	554	93
856	555	92
857	555	91
858	556	91
859	556	90
860	557	89
861	557	89
862	558	88
863	558	87
864	559	87
865	559	86
866	560	85
867	560	85
868	561	84
869	561	83
870	562	83
871	562	82
872	563	81
873	563	81
874	564	80
875	564	79
876	565	79
877	565	78
878	566	77
879	566	77
880	567	76
881	567	75
882	568	75
883	568	74
884	569	73
885	569	73
886	570	72
887	570	72
888	571	71
889	571	70
890	572	70
891	572	69
892	573	68
893	573	68
894	574	67
895	574	66
896	575	66
897	575	65
